"filename", "language", "Properties", "JSON", "Markdown", "JSON with Comments", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"h:\Documents\Projects\Subst\.gitattributes", "Properties", 1, 0, 0, 0, 0, 0, 0, 1, 1, 3
"h:\Documents\Projects\Subst\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"h:\Documents\Projects\Subst\app\DoseMonitoring.html", "HTML", 0, 0, 0, 0, 18, 0, 0, 0, 5, 23
"h:\Documents\Projects\Subst\app\create_schedule.html", "HTML", 0, 0, 0, 0, 36, 0, 0, 0, 4, 40
"h:\Documents\Projects\Subst\app\resources\DoseMonitoring.css", "CSS", 0, 0, 0, 0, 0, 0, 55, 1, 10, 66
"h:\Documents\Projects\Subst\app\resources\DoseMonitoring.js", "JavaScript", 0, 0, 0, 0, 0, 93, 0, 8, 2, 103
"h:\Documents\Projects\Subst\app\resources\GLOBAL_STYLES.css", "CSS", 0, 0, 0, 0, 0, 0, 72, 1, 1, 74
"h:\Documents\Projects\Subst\app\resources\create_schedule.css", "CSS", 0, 0, 0, 0, 0, 0, 30, 0, 4, 34
"h:\Documents\Projects\Subst\app\resources\create_schedule.js", "JavaScript", 0, 0, 0, 0, 0, 55, 0, 1, 0, 56
"h:\Documents\Projects\Subst\app\settings.html", "HTML", 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"h:\Documents\Projects\Subst\dev\DEPRECATED\OptionSelector.js", "JavaScript", 0, 0, 0, 0, 0, 223, 0, 3, 36, 262
"h:\Documents\Projects\Subst\dev\debug.html", "HTML", 0, 0, 0, 0, 24, 0, 0, 50, 10, 84
"h:\Documents\Projects\Subst\dev\resources\debug.css", "CSS", 0, 0, 0, 0, 0, 0, 293, 9, 5, 307
"h:\Documents\Projects\Subst\dev\resources\debug.js", "JavaScript", 0, 0, 0, 0, 0, 27, 0, 5, 9, 41
"h:\Documents\Projects\Subst\dev\resources\debug_old.js", "JavaScript", 0, 0, 0, 0, 0, 15, 0, 41, 24, 80
"h:\Documents\Projects\Subst\dev\resources\sample_page.css", "CSS", 0, 0, 0, 0, 0, 0, 98, 0, 1, 99
"h:\Documents\Projects\Subst\dev\resources\tests.js", "JavaScript", 0, 0, 0, 0, 0, 45, 0, 0, 2, 47
"h:\Documents\Projects\Subst\dev\sample_page.html", "HTML", 0, 0, 0, 0, 23, 0, 0, 2, 1, 26
"h:\Documents\Projects\Subst\dev\tests.html", "HTML", 0, 0, 0, 0, 18, 0, 0, 1, 4, 23
"h:\Documents\Projects\Subst\index.html", "HTML", 0, 0, 0, 0, 23, 0, 0, 11, 2, 36
"h:\Documents\Projects\Subst\manifest.json", "JSON", 0, 18, 0, 0, 0, 0, 0, 0, 1, 19
"h:\Documents\Projects\Subst\modules\OptionSelector.js", "JavaScript", 0, 0, 0, 0, 0, 244, 0, 9, 24, 277
"h:\Documents\Projects\Subst\modules\cards.js", "JavaScript", 0, 0, 0, 0, 0, 204, 0, 38, 8, 250
"h:\Documents\Projects\Subst\modules\element_dragger.js", "JavaScript", 0, 0, 0, 0, 0, 141, 0, 0, 12, 153
"h:\Documents\Projects\Subst\modules\elements.js", "JavaScript", 0, 0, 0, 0, 0, 25, 0, 0, 2, 27
"h:\Documents\Projects\Subst\modules\event_handler.js", "JavaScript", 0, 0, 0, 0, 0, 34, 0, 5, 3, 42
"h:\Documents\Projects\Subst\modules\firebase.js", "JavaScript", 0, 0, 0, 0, 0, 17, 0, 1, 2, 20
"h:\Documents\Projects\Subst\modules\input_modules.js", "JavaScript", 0, 0, 0, 0, 0, 124, 0, 8, 14, 146
"h:\Documents\Projects\Subst\modules\local_database.js", "JavaScript", 0, 0, 0, 0, 0, 17, 0, 0, 1, 18
"h:\Documents\Projects\Subst\modules\navbar.js", "JavaScript", 0, 0, 0, 0, 0, 207, 0, 1, 19, 227
"h:\Documents\Projects\Subst\modules\pop_ups.js", "JavaScript", 0, 0, 0, 0, 0, 90, 0, 1, 3, 94
"h:\Documents\Projects\Subst\modules\schedule.js", "JavaScript", 0, 0, 0, 0, 0, 45, 0, 1, 5, 51
"h:\Documents\Projects\Subst\package-lock.json", "JSON", 0, 1119, 0, 0, 0, 0, 0, 0, 1, 1120
"h:\Documents\Projects\Subst\package.json", "JSON", 0, 22, 0, 0, 0, 0, 0, 0, 1, 23
"h:\Documents\Projects\Subst\static\about.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"h:\Documents\Projects\Subst\static\resources\index.css", "CSS", 0, 0, 0, 0, 0, 0, 25, 0, 1, 26
"h:\Documents\Projects\Subst\static\resources\index.js", "JavaScript", 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"h:\Documents\Projects\Subst\subst.code-workspace", "JSON with Comments", 0, 0, 0, 10, 0, 0, 0, 0, 0, 10
"Total", "-", 1, 1159, 3, 10, 151, 1608, 573, 198, 224, 3927